0:-576.49780021 1:161.661717192 2:-70.0876064749 3:30.7432847355 4:-16.8581791399 5:-35.16934249 6:-3.49766991061 7:-31.8208807409 8:-4.68682821781 9:-1.88387447131 10:-7.04978598029 11:3.06215427735 12:-10.0617049346 13:-0.0155359832642 14:-0.00518864212871 15:0.00744462880604 16:0.00266681663668 17:0.000833388390979 18:-0.000535629628275 19:0.000626440537728 20:0.000526004307375 21:1.15854099528e-06 22:-1.33297203993e-05 23:0.000183755419251 24:-0.000242721681772 25:-0.00129970135371 
0:-591.351315167 1:159.07581206 2:-66.9690911112 3:17.3137490066 4:-22.6629510564 5:-31.5388669421 6:-2.18226860752 7:-27.5534564601 8:1.05801370839 9:-1.81017026852 10:-7.8429956882 11:6.92402900534 12:-9.79333218242 13:0.00285860518964 14:-0.00224730378443 15:0.000210241824041 16:0.0001842673141 17:0.00162394187369 18:-0.00197415677623 19:0.000827775735302 20:-0.00126408044692 21:0.000703906486395 22:0.000145264821407 23:8.59426767315e-05 24:0.000120500574169 25:0.00179862635849 
0:-582.467945438 1:161.585364075 2:-73.1562507959 3:20.426068006 4:-13.9381206415 5:-30.615516302 6:-6.42612058056 7:-31.4709496852 8:-1.59606561613 9:-0.371697840216 10:-6.71334575724 11:4.06237713355 12:-10.1051259092 13:0.00602021012251 14:0.000898474855661 15:-0.000115024219064 16:-0.000437213208886 17:-0.000200577339429 18:-0.000950725030353 19:0.000261775868299 20:-0.00129458507824 21:-0.000629941040395 22:-0.000505826365296 23:0.000712274881204 24:0.000143400949407 25:-2.22259364706e-05 
0:-573.629551996 1:161.789676229 2:-76.3546192704 3:24.0070247606 4:-18.5727696645 5:-34.4191842709 6:-4.30931504153 7:-30.0678661378 8:0.462982670008 9:-1.28370006816 10:-8.32229399734 11:4.87262680304 12:-9.62833206506 13:0.0112846046282 14:0.00372572857133 15:0.000487220500008 16:0.000642962333467 17:-0.000377134815082 18:-0.0008331124641 19:0.00108270578324 20:-0.00183985170815 21:-0.00117378651297 22:-0.00145715131982 23:0.000155722379911 24:0.00107670291557 25:0.000449175973921 
0:-581.324644375 1:161.623258613 2:-70.0312816118 3:22.8330705359 4:-23.8825677561 5:-38.447667385 6:-1.15917953195 7:-27.0493972866 8:-0.884251347878 9:0.465564487863 10:-8.42232578919 11:4.20121559225 12:-8.16101753887 13:-0.0150982014088 14:-0.00149426885286 15:0.00939176486282 16:0.000492133822315 17:0.00590244302744 18:-0.00116772884376 19:-0.00380527227633 20:-0.00162360452887 21:-0.00395945220995 22:0.00072505640808 23:0.00154969069907 24:-0.00178256482347 25:0.000146609460317 
0:-591.063484834 1:154.968979476 2:-67.5567732316 3:27.6814491042 4:-17.3877089042 5:-33.9766587119 6:-3.51698343814 7:-30.7396123074 8:-1.30758304129 9:-0.742597173783 10:-10.3336862235 11:2.79786379466 12:-10.1301672381 13:0.00277912514366 14:0.000110153320553 15:0.000520513181768 16:0.00142098859766 17:0.000242151804681 18:0.0006363975377 19:-0.000433881862974 20:-0.000647264215611 21:0.000446090204516 22:-0.000292803275662 23:0.000470001430535 24:-0.000376348684587 25:0.000103355874453 
0:-608.309528228 1:154.313257012 2:-61.3402394555 3:19.5668402851 4:-14.993841051 5:-34.4175497275 6:-6.0803711106 7:-26.8936353441 8:-4.41554899473 9:-1.02565976497 10:-7.29402225205 11:2.7293603393 12:-8.69240712958 13:-0.00647714013391 14:-0.00229422312687 15:0.00524490635888 16:0.000184510029731 17:0.00434828123555 18:-0.00218485079459 19:-0.00213131895278 20:2.09116077013e-05 21:0.000125258256328 22:0.000262235330021 23:-0.000369890749626 24:-0.00121203556112 25:0.000989490205077 
0:-595.999162357 1:151.646216171 2:-72.0412596513 3:28.9032821717 4:-8.27650697423 5:-39.0620841157 6:-9.87536722082 7:-28.4057083319 8:-4.21619475998 9:0.11315633619 10:-6.05035081957 11:3.00442872505 12:-8.03467800894 13:0.00367106688449 14:0.00245446322766 15:0.00371334120957 16:-0.00113863557894 17:-0.000406926553061 18:0.000170262127198 19:-0.000659839910994 20:-0.00193810030991 21:-0.000410011939599 22:-0.0017052171087 23:0.00117997158654 24:-1.43868358649e-05 25:0.000280960694876 
0:-606.444494578 1:149.264684086 2:-53.0589677282 3:34.4642479191 4:-21.437763151 5:-31.0199202903 6:-0.25964970182 7:-33.8659339727 8:-2.42897997203 9:-1.11830882297 10:-11.7564183461 11:4.57221415295 12:-8.80053230589 13:-0.00102646369418 14:-0.00158271792061 15:0.00080088952271 16:0.0017010001989 17:0.0012642113832 18:0.0017491645856 19:0.000562730258931 20:-0.000359721435967 21:0.00118955909196 22:-0.000174504880493 23:0.000224414944444 24:0.000790465976093 25:4.99658261961e-05 
0:-600.60428192 1:156.069875041 2:-55.2785557091 3:27.9525674866 4:-19.2589648761 5:-27.0902430884 6:-0.673500518653 7:-35.9752308379 8:-4.6169199171 9:1.73879353496 10:-9.24848093915 11:1.31492237853 12:-9.18892658178 13:0.00175083257601 14:0.000906935895667 15:0.000129908264246 16:-0.00387671589443 17:-0.00272913256631 18:-0.000338301307069 19:0.00057499421529 20:-0.00185659958728 21:-0.000293622086029 22:-0.000589128940718 23:0.000989195975267 24:0.000105346830661 25:-0.000216548892058 
